"","buckets","Predicted_Risk_Premium","Observed_Risk_Premium","base_predicted_rp","base_observed_rp"
"1",1,0.120903482207641,0.0620290264053314,365.873332399354,350.509842292497
"2",2,0.313871174009626,0.277410340019807,365.873332399354,350.509842292497
"3",3,0.390711325471428,0.353283784655139,365.873332399354,350.509842292497
"4",4,0.605123253163318,0.651999704682727,365.873332399354,350.509842292497
"5",5,0.697864687455444,1.08312426404971,365.873332399354,350.509842292497
"6",6,0.722126926966693,0.687191265229942,365.873332399354,350.509842292497
"7",7,0.747802902658171,0.714327647968866,365.873332399354,350.509842292497
"8",8,0.750110424312061,0.780338212140248,365.873332399354,350.509842292497
"9",9,1,1,365.873332399354,350.509842292497
"10",10,1.19171095122188,1.18334281671106,365.873332399354,350.509842292497
