feature,level,value
Area,B,141.45913888985567
Area,D,175.30877774366041
Area,A,114.9028503585777
Area,C,135.82580401288007
Area,E,163.96606241303397
Area,F,155.1298529915086
VehPower,6,161.34903972965398
VehPower,8,138.30135110973433
VehPower,5,129.80964021171445
VehPower,7,137.63765863371515
VehPower,12,157.10979370273455
VehPower,11,139.99559977699406
VehPower,10,150.89805917563922
VehPower,4,130.68146343180618
VehPower,9,296.6146302196377
VehPower,15,104.69617134844215
VehPower,14,249.37553517824216
VehPower,13,70.36449922394814
VehBrand,B12,129.84226240901114
VehBrand,B14,76.8229125617793
VehBrand,B6,126.36847026856032
VehBrand,B4,135.6963951346483
VehBrand,B10,174.5202322269211
VehBrand,B13,163.44560721652732
VehBrand,B1,145.25717854280498
VehBrand,B11,251.34240300072378
VehBrand,B3,172.0487712269516
VehBrand,B5,154.70111598999327
VehBrand,B2,156.23530754153632
VehGas,Regular,144.49796592666002
VehGas,Diesel,152.36595247503485
Region,R53,134.93516153754302
Region,R24,160.8738047351315
Region,R52,126.41238585615383
Region,R54,132.64839075519436
Region,R25,83.93192661745843
Region,R41,119.96497180802919
Region,R82,155.74033736048872
Region,R23,106.56441974766047
Region,R31,151.54645950269193
Region,R72,169.3176748937897
Region,R91,136.27230942547854
Region,R74,144.03559167142342
Region,R43,124.12593014694446
Region,R26,152.04161079472001
Region,R42,101.8381409567101
Region,R93,172.6898884868815
Region,R22,113.64949683465919
Region,R73,79.83695417529879
Region,R83,118.54991205085193
Region,R11,151.5148594402853
Region,R21,121.63541212680158
Region,R94,118.78819965665006
DrivAgeBand,"(55,65]",127.57876933901323
DrivAgeBand,"(35,45]",135.75911019786574
DrivAgeBand,"(45,55]",148.06203823358305
DrivAgeBand,"(25,35]",131.05451155610785
DrivAgeBand,"(65,Inf]",147.41415547602446
DrivAgeBand,"(18,25]",321.4136365532162
DrivAgeBand,"(18, 25]",320.92893268210736
DensityBand,"(1e+03,2e+03]",140.85633466190404
DensityBand,"(400,1e+03]",155.87299718442378
DensityBand,"(200,400]",130.42301815295883
DensityBand,"(100,200]",163.59862384756187
DensityBand,"(50,100]",95.09243765614782
DensityBand,"(0,50]",199.33920686758995
VehAgeBand,15+,78.98356605080271
VehAgeBand,14,144.9407961503227
VehAgeBand,13,255.22646790571747
VehAgeBand,15,139.75936107519632
VehAgeBand,12,164.83962635809735
VehAgeBand,11,117.05388118572739
VehAgeBand,9,162.36700157703717
VehAgeBand,8,162.64776020508288
VehAgeBand,10,151.90312987874364
VehAgeBand,7,170.50173775614408
VehAgeBand,6,147.9717888244595
VehAgeBand,5,159.99260798447438
VehAgeBand,4,200.52540856785507
VehAgeBand,3,130.1130816451633
VehAgeBand,2,136.73893243857015
VehAgeBand,1,134.2709197447357
VehAgeBand,0,138.8926257208271
