Interaction_Term,H_Statistic,Scaled_Interaction_Strength
DrivAgeBand:Region,0.1893287108262269,0.42747811418561155
DrivAgeBand:VehAgeBand,0.24712375938756007,0.8680974152383254
DrivAgeBand:VehBrand,0.19375389298516163,0.4612149258751384
DrivAgeBand:VehPower,0.2358484541203071,0.7821364678962581
VehAgeBand:Region,0.15867152754973934,0.1937531324824505
VehAgeBand:VehBrand,0.181668060327268,0.3690746600406025
VehAgeBand:VehPower,0.2644251265166281,1
VehBrand:Region,0.13325736236455613,0
VehPower:Region,0.18036816946909978,0.3591645204070476
VehPower:VehBrand,0.22082227358032402,0.6675795061525008
