"","int_terms","int"
"1","BonusMalus:VehPriceGrp",87.6726453232221
"2","BonusMalus:VehBody",82.4518193873514
"3","DrivAge:VehBody",71.9327499972204
"4","Gender:VehPriceGrp",46.4949729929107
"5","Gender:DrivAge",45.0386583772206
"6","VehAge:DrivAge",42.3565040076378
"7","VehUsage:BonusMalus",36.6889380242007
"8","DrivAge:VehMaxSpeed",30.7483704607296
"9","BonusMalus:Garage",30.2318661270353
"10","VehAge:VehMaxSpeed",26.8105744837754
"11","VehAge:SocioCateg",26.3691861485002
"12","Gender:SocioCateg",25.7731051237977
"13","VehAge:VehBody",24.934969733576
"14","Gender:VehBody",24.0381901607187
"15","BonusMalus:VehEngine",22.5936756610893
"16","LicAge:DrivAge",22.4136449949131
"17","BonusMalus:VehMaxSpeed",22.4070319340142
"18","VehAge:VehClass",22.344650261069
"19","DrivAge:VehPriceGrp",21.3308561216178
"20","Gender:VehClass",21.2572462100284
"21","VehBody:VehClass",21.2059749576841
"22","MariStat:VehEngine",20.0533559291306
"23","DrivAge:BonusMalus",19.4193822818446
"24","VehAge:MariStat",18.9595181274757
"25","VehAge:HasKmLimit",18.9377593829239
"26","HasKmLimit:SocioCateg",18.7819903191869
"27","VehUsage:VehBody",18.4986924965726
"28","VehAge:VehUsage",18.3723159132359
"29","VehAge:Gender",18.3393854997072
"30","VehPriceGrp:VehClass",18.1796959980924
"31","MariStat:VehClass",17.9319651399899
"32","VehEngine:VehClass",17.7254659238762
"33","VehMaxSpeed:VehClass",17.7027639030605
"34","VehUsage:VehPriceGrp",17.4050415403537
"35","Gender:VehEngine",17.020506361867
"36","VehBody:VehPriceGrp",16.9652203731524
"37","HasKmLimit:BonusMalus",16.8204717897769
"38","MariStat:VehBody",16.7374179777923
"39","DrivAge:VehClass",16.4694644897551
"40","BonusMalus:SocioCateg",16.2445252889001
"41","Gender:BonusMalus",15.9042462528953
"42","VehBody:SocioCateg",15.2846362526356
"43","HasKmLimit:VehClass",14.9925992707999
"44","VehBody:Garage",14.5949668164836
"45","MariStat:VehUsage",13.4326033714465
"46","DrivAge:Garage",13.3271074922773
"47","DrivAge:HasKmLimit",13.136297979003
"48","Gender:HasKmLimit",12.7931508896868
"49","MariStat:VehPriceGrp",12.3283991317165
"50","VehUsage:SocioCateg",11.9381327194922
"51","DrivAge:VehEngine",11.7221473591531
"52","HasKmLimit:VehBody",11.6486080379541
"53","LicAge:VehBody",10.9975268203706
"54","Gender:VehMaxSpeed",10.9504407246033
"55","BonusMalus:VehClass",10.9366170026041
"56","MariStat:DrivAge",10.1396194369417
"57","VehMaxSpeed:SocioCateg",9.76696706676578
"58","VehAge:VehEngine",9.53194423191995
"59","VehBody:VehMaxSpeed",9.49723400699365
"60","VehEngine:SocioCateg",9.42360375956025
"61","VehUsage:VehEngine",9.1386317745782
"62","Gender:VehEnergy",8.98554144498887
"63","VehUsage:VehClass",8.50365426254204
"64","LicAge:VehEngine",8.3731051399498
"65","DrivAge:SocioCateg",8.18949163536315
"66","VehAge:BonusMalus",8.16129238146381
"67","VehMaxSpeed:Garage",7.89015494618077
"68","VehEngine:VehMaxSpeed",7.86380946794842
"69","VehAge:Garage",7.84106537160567
"70","Garage:SocioCateg",7.76157022497245
"71","VehUsage:VehMaxSpeed",7.75427698574992
"72","LicAge:VehPriceGrp",7.59461552016365
"73","LicAge:VehClass",7.53033391973777
"74","VehAge:VehEnergy",7.49593349351664
"75","VehBody:VehEngine",7.49058624381827
"76","MariStat:SocioCateg",7.28949884109264
"77","VehClass:SocioCateg",7.1717505859713
"78","LicAge:VehAge",6.68930856110056
"79","VehUsage:DrivAge",6.60117874196081
"80","LicAge:Gender",6.18061139776361
"81","LicAge:HasKmLimit",5.96101350685814
"82","VehPriceGrp:SocioCateg",5.90295762948674
"83","LicAge:MariStat",5.78242000108885
"84","HasKmLimit:VehEngine",5.65119977630399
"85","MariStat:VehMaxSpeed",5.35005760917624
"86","VehEnergy:VehClass",5.12651690727648
"87","VehPriceGrp:VehEngine",4.9151434478396
"88","HasKmLimit:Garage",4.85184469747669
"89","VehPriceGrp:VehMaxSpeed",4.78340587353791
"90","LicAge:VehUsage",4.76851444856019
"91","VehEnergy:VehMaxSpeed",4.74900448181652
"92","MariStat:Garage",4.71304571553902
"93","VehAge:VehPriceGrp",4.70824859573722
"94","VehEnergy:Garage",4.43606872118724
"95","LicAge:BonusMalus",4.36156292304096
"96","VehEnergy:SocioCateg",4.1936733763746
"97","VehPriceGrp:Garage",3.99056371558202
"98","HasKmLimit:VehEnergy",3.80900199026297
"99","VehUsage:Garage",3.60087684616496
"100","VehPriceGrp:VehEnergy",3.49902030703391
"101","HasKmLimit:VehPriceGrp",3.48713868276537
"102","DrivAge:VehEnergy",3.16586470911099
"103","BonusMalus:VehEnergy",3.15229988461181
"104","LicAge:VehMaxSpeed",2.9514514188367
"105","VehUsage:VehEnergy",2.82495327581523
"106","VehClass:Garage",2.56850439667894
"107","HasKmLimit:VehMaxSpeed",2.3338231065939
"108","LicAge:SocioCateg",2.1586541895921
"109","LicAge:Garage",2.05575006445717
"110","VehEngine:Garage",1.78475693986681
"111","VehEngine:VehEnergy",1.73939741779256
"112","VehBody:VehEnergy",1.67302196309092
"113","Gender:Garage",1.65973750575664
"114","VehUsage:HasKmLimit",1.59547913524353
"115","Gender:MariStat",1.4848087614934
"116","MariStat:HasKmLimit",1.1483597819425
"117","Gender:VehUsage",1.10472620624662
"118","MariStat:VehEnergy",0.961741735333639
"119","MariStat:BonusMalus",0.279933492247982
"120","LicAge:VehEnergy",0.220636019420989
